date,region,support_tickets,avg_shipping_days,unit_price_usd
2026-06-18,Northeast,9,2.83,48.0
2026-06-19,Northeast,9,3.72,48.0
2026-06-20,Northeast,8,3.09,48.0
2026-06-21,Northeast,10,2.93,48.0
2026-06-22,Northeast,11,3.3,48.0
2026-06-23,Northeast,9,3.39,48.0
2026-06-24,Northeast,8,3.19,48.0
2026-06-25,Northeast,10,3.1,48.0
2026-06-26,Northeast,10,3.05,48.0
2026-06-27,Northeast,9,3.36,48.0
2026-06-28,Northeast,11,3.27,48.0
2026-06-29,Northeast,9,3.23,48.0
2026-06-30,Northeast,12,2.76,48.0
2026-07-01,Northeast,9,3.56,48.0
2026-07-02,Northeast,10,3.15,48.0
2026-07-03,Northeast,11,2.94,48.0
2026-07-04,Northeast,11,2.81,48.0
2026-07-05,Northeast,10,2.85,48.0
2026-07-06,Northeast,9,3.72,48.0
2026-07-07,Northeast,9,3.43,48.0
2026-07-08,Northeast,8,3.09,48.0
2026-07-09,Northeast,8,2.79,48.0
2026-07-10,Northeast,8,3.12,48.0
2026-07-11,Northeast,8,3.03,48.0
2026-07-12,Northeast,10,3.31,48.0
2026-07-13,Northeast,11,3.17,48.0
2026-07-14,Northeast,9,3.32,48.0
2026-07-15,Northeast,8,2.87,48.0
2026-07-16,Northeast,9,3.34,48.0
2026-07-17,Northeast,8,3.48,48.0
2026-07-18,Northeast,14,3.12,48.0
2026-07-19,Northeast,10,3.13,48.0
2026-07-20,Northeast,9,3.09,48.0
2026-07-21,Northeast,9,3.72,48.0
2026-07-22,Northeast,9,3.1,48.0
2026-07-23,Northeast,16,5.18,51.84
2026-07-24,Northeast,15,5.31,51.84
2026-07-25,Northeast,14,5.73,51.84
2026-07-26,Northeast,14,4.53,51.84
2026-07-27,Northeast,14,5.12,51.84
2026-07-28,Northeast,17,4.76,51.84
2026-07-29,Northeast,14,5.15,51.84
2026-07-30,Northeast,16,4.65,51.84
2026-07-31,Northeast,16,5.59,51.84
2026-08-01,Northeast,17,5.93,51.84
2026-08-02,Northeast,15,5.52,51.84
2026-08-03,Northeast,16,4.43,51.84
2026-08-04,Northeast,17,5.09,51.84
2026-08-05,Northeast,14,5.08,51.84
2026-08-06,Northeast,15,4.95,51.84
2026-08-07,Northeast,15,4.07,51.84
2026-08-08,Northeast,18,4.69,51.84
2026-08-09,Northeast,17,4.41,51.84
2026-08-10,Northeast,17,4.58,51.84
2026-08-11,Northeast,15,4.76,51.84
2026-08-12,Northeast,17,5.14,51.84
2026-08-13,Northeast,16,4.95,51.84
2026-08-14,Northeast,14,5.06,51.84
2026-08-15,Northeast,16,4.36,51.84
2026-08-16,Northeast,15,5.44,51.84
2026-08-17,Northeast,16,4.54,51.84
2026-08-18,Northeast,17,4.69,51.84
2026-08-19,Northeast,14,5.43,51.84
2026-08-20,Northeast,15,5.37,51.84
2026-08-21,Northeast,16,4.71,51.84
2026-04-24,Midwest,6,1.91,45.0
2026-04-25,Midwest,10,2.33,45.0
2026-04-26,Midwest,8,3.04,45.0
2026-04-27,Midwest,7,2.59,45.0
2026-04-28,Midwest,11,3.22,45.0
2026-04-29,Midwest,7,2.84,45.0
2026-04-30,Midwest,7,2.69,45.0
2026-05-01,Midwest,6,2.67,45.0
2026-05-02,Midwest,6,2.33,45.0
2026-05-03,Midwest,7,3.14,45.0
2026-05-04,Midwest,7,2.29,45.0
2026-05-05,Midwest,10,2.86,45.0
2026-05-06,Midwest,7,3.0,45.0
2026-05-07,Midwest,10,2.71,45.0
2026-05-08,Midwest,8,2.53,45.0
2026-05-09,Midwest,9,3.07,45.0
2026-05-10,Midwest,6,2.75,45.0
2026-05-11,Midwest,8,2.37,45.0
2026-05-12,Midwest,6,2.88,45.0
2026-05-13,Midwest,10,2.72,45.0
2026-05-14,Midwest,11,3.4,45.0
2026-05-15,Midwest,8,3.28,45.0
2026-05-16,Midwest,8,2.3,45.0
2026-05-17,Midwest,6,2.67,45.0
2026-05-18,Midwest,9,2.95,45.0
2026-05-19,Midwest,7,2.61,45.0
2026-05-20,Midwest,9,2.29,45.0
2026-05-21,Midwest,6,2.49,45.0
2026-05-22,Midwest,11,2.87,45.0
2026-05-23,Midwest,7,2.67,45.0
2026-05-24,Midwest,6,2.88,45.0
2026-05-25,Midwest,7,2.64,45.0
2026-05-26,Midwest,8,2.08,45.0
2026-05-27,Midwest,8,2.22,45.0
2026-05-28,Midwest,7,2.74,45.0
2026-05-29,Midwest,6,2.97,45.0
2026-05-30,Midwest,8,3.42,45.0
2026-05-31,Midwest,7,2.76,45.0
2026-06-01,Midwest,10,2.68,45.0
2026-06-02,Midwest,7,3.3,45.0
2026-06-03,Midwest,6,2.98,45.0
2026-06-04,Midwest,6,2.54,45.0
2026-06-05,Midwest,7,2.7,45.0
2026-06-06,Midwest,9,2.78,45.0
2026-06-07,Midwest,7,2.94,45.0
2026-06-08,Midwest,9,2.59,45.0
2026-06-09,Midwest,7,2.9,45.0
2026-06-10,Midwest,8,2.92,45.0
2026-06-11,Midwest,8,3.18,45.0
2026-06-12,Midwest,10,3.04,45.0
2026-06-13,Midwest,6,2.66,45.0
2026-06-14,Midwest,8,3.09,45.0
2026-06-15,Midwest,7,2.57,45.0
2026-06-16,Midwest,7,2.53,45.0
2026-06-17,Midwest,7,2.73,45.0
2026-06-18,Midwest,6,2.78,45.0
2026-06-19,Midwest,6,2.51,45.0
2026-06-20,Midwest,6,2.97,45.0
2026-06-21,Midwest,7,2.8,45.0
2026-06-22,Midwest,6,2.49,45.0
2026-06-23,Midwest,6,2.74,45.0
2026-06-24,Midwest,7,3.01,45.0
2026-06-25,Midwest,8,3.14,45.0
2026-06-26,Midwest,7,2.52,45.0
2026-06-27,Midwest,7,3.03,45.0
2026-06-28,Midwest,6,2.46,45.0
2026-06-29,Midwest,7,2.96,45.0
2026-06-30,Midwest,6,2.88,45.0
2026-07-01,Midwest,6,3.03,45.0
2026-07-02,Midwest,6,2.31,45.0
2026-07-03,Midwest,7,3.16,45.0
2026-07-04,Midwest,8,3.08,45.0
2026-07-05,Midwest,7,2.69,45.0
2026-07-06,Midwest,7,2.71,45.0
2026-07-07,Midwest,9,2.52,45.0
2026-07-08,Midwest,8,3.17,45.0
2026-07-09,Midwest,7,2.99,45.0
2026-07-10,Midwest,6,2.26,45.0
2026-07-11,Midwest,6,2.63,45.0
2026-07-12,Midwest,9,2.88,45.0
2026-07-13,Midwest,7,2.86,45.0
2026-07-14,Midwest,7,2.82,45.0
2026-07-15,Midwest,7,2.78,45.0
2026-07-16,Midwest,8,2.87,45.0
2026-07-17,Midwest,9,2.58,45.0
2026-07-18,Midwest,7,2.92,45.0
2026-07-19,Midwest,7,3.1,45.0
2026-07-20,Midwest,7,2.81,45.0
2026-07-21,Midwest,8,2.91,45.0
2026-07-22,Midwest,10,2.87,45.0
2026-07-23,Midwest,6,2.63,45.0
2026-07-24,Midwest,7,2.61,45.0
2026-07-25,Midwest,9,2.46,45.0
2026-07-26,Midwest,6,3.23,45.0
2026-07-27,Midwest,8,2.17,45.0
2026-07-28,Midwest,9,3.16,45.0
2026-07-29,Midwest,9,2.69,45.0
2026-07-30,Midwest,8,3.23,45.0
2026-07-31,Midwest,7,3.37,45.0
2026-08-01,Midwest,9,2.91,45.0
2026-08-02,Midwest,8,3.09,45.0
2026-08-03,Midwest,8,2.81,45.0
2026-08-04,Midwest,7,2.9,45.0
2026-08-05,Midwest,8,2.51,45.0
2026-08-06,Midwest,6,2.78,45.0
2026-08-07,Midwest,8,2.4,45.0
2026-08-08,Midwest,8,2.88,45.0
2026-08-09,Midwest,9,2.21,45.0
2026-08-10,Midwest,7,2.77,45.0
2026-08-11,Midwest,11,2.89,45.0
2026-08-12,Midwest,7,2.05,45.0
2026-08-13,Midwest,9,2.81,45.0
2026-08-14,Midwest,6,3.11,45.0
2026-08-15,Midwest,8,2.34,45.0
2026-08-16,Midwest,9,2.61,45.0
2026-08-17,Midwest,6,2.73,45.0
2026-08-18,Midwest,6,2.82,45.0
2026-08-19,Midwest,7,2.92,45.0
2026-08-20,Midwest,7,3.1,45.0
2026-08-21,Midwest,9,3.21,45.0
2026-04-24,South,8,2.74,46.5
2026-04-25,South,10,2.95,46.5
2026-04-26,South,9,3.0,46.5
2026-04-27,South,10,3.18,46.5
2026-04-28,South,7,2.97,46.5
2026-04-29,South,7,3.26,46.5
2026-04-30,South,9,3.36,46.5
2026-05-01,South,8,3.1,46.5
2026-05-02,South,11,3.14,46.5
2026-05-03,South,8,3.41,46.5
2026-05-04,South,11,3.04,46.5
2026-05-05,South,9,2.59,46.5
2026-05-06,South,8,3.28,46.5
2026-05-07,South,7,2.92,46.5
2026-05-08,South,10,2.69,46.5
2026-05-09,South,9,3.13,46.5
2026-05-10,South,9,3.22,46.5
2026-05-11,South,8,2.58,46.5
2026-05-12,South,12,3.44,46.5
2026-05-13,South,9,3.11,46.5
2026-05-14,South,10,2.98,46.5
2026-05-15,South,8,3.19,46.5
2026-05-16,South,7,3.1,46.5
2026-05-17,South,10,2.63,46.5
2026-05-18,South,7,2.85,46.5
2026-05-19,South,8,2.69,46.5
2026-05-20,South,7,2.92,46.5
2026-05-21,South,7,3.19,46.5
2026-05-22,South,9,3.18,46.5
2026-05-23,South,10,3.0,46.5
2026-05-24,South,9,2.85,46.5
2026-05-25,South,7,2.84,46.5
2026-05-26,South,10,3.2,46.5
2026-05-27,South,8,3.21,46.5
2026-05-28,South,8,2.74,46.5
2026-05-29,South,14,2.59,46.5
2026-05-30,South,8,3.12,46.5
2026-05-31,South,8,2.95,46.5
2026-06-01,South,7,2.86,46.5
2026-06-02,South,8,2.98,46.5
2026-06-03,South,10,2.94,46.5
2026-06-04,South,7,2.93,46.5
2026-06-05,South,8,3.07,46.5
2026-06-06,South,11,2.95,46.5
2026-06-07,South,8,3.03,46.5
2026-06-08,South,8,2.54,46.5
2026-06-09,South,7,2.92,46.5
2026-06-10,South,9,3.05,46.5
2026-06-11,South,10,3.15,46.5
2026-06-12,South,9,3.18,46.5
2026-06-13,South,7,3.16,46.5
2026-06-14,South,10,3.39,46.5
2026-06-15,South,9,2.65,46.5
2026-06-16,South,8,3.02,46.5
2026-06-17,South,7,2.89,46.5
2026-06-18,South,8,3.14,46.5
2026-06-19,South,7,2.78,46.5
2026-06-20,South,8,2.92,46.5
2026-06-21,South,8,2.93,46.5
2026-06-22,South,11,2.95,46.5
2026-06-23,South,8,3.01,46.5
2026-06-24,South,9,2.3,46.5
2026-06-25,South,7,2.84,46.5
2026-06-26,South,8,3.14,46.5
2026-06-27,South,7,3.31,46.5
2026-06-28,South,10,2.83,46.5
2026-06-29,South,8,3.0,46.5
2026-06-30,South,9,2.64,46.5
2026-07-01,South,8,2.55,46.5
2026-07-02,South,10,2.88,46.5
2026-07-03,South,7,2.66,46.5
2026-07-04,South,8,2.7,46.5
2026-07-05,South,10,3.11,46.5
2026-07-06,South,8,3.26,46.5
2026-07-07,South,8,3.0,46.5
2026-07-08,South,7,2.91,46.5
2026-07-09,South,8,2.96,46.5
2026-07-10,South,9,3.23,46.5
2026-07-11,South,7,3.59,46.5
2026-07-12,South,7,2.72,46.5
2026-07-13,South,7,2.68,46.5
2026-07-14,South,7,2.85,46.5
2026-07-15,South,7,2.97,46.5
2026-07-16,South,9,2.74,46.5
2026-07-17,South,8,3.27,46.5
2026-07-18,South,7,2.94,46.5
2026-07-19,South,8,2.59,46.5
2026-07-20,South,7,2.33,46.5
2026-07-21,South,7,3.4,46.5
2026-07-22,South,11,3.16,46.5
2026-07-23,South,9,3.17,46.5
2026-07-24,South,7,2.66,46.5
2026-07-25,South,10,3.1,46.5
2026-07-26,South,8,3.17,46.5
2026-07-27,South,7,3.47,46.5
2026-07-28,South,9,2.84,46.5
2026-07-29,South,11,2.53,46.5
2026-07-30,South,9,3.09,46.5
2026-07-31,South,8,3.23,46.5
2026-08-01,South,8,2.86,46.5
2026-08-02,South,9,2.87,46.5
2026-08-03,South,8,2.75,46.5
2026-08-04,South,10,3.43,46.5
2026-08-05,South,9,3.01,46.5
2026-08-06,South,7,3.49,46.5
2026-08-07,South,8,3.36,46.5
2026-08-08,South,9,3.02,46.5
2026-08-09,South,10,3.25,46.5
2026-08-10,South,8,2.88,46.5
2026-08-11,South,11,2.65,46.5
2026-08-12,South,9,2.24,46.5
2026-08-13,South,9,2.26,46.5
2026-08-14,South,9,2.9,46.5
2026-08-15,South,7,3.24,46.5
2026-08-16,South,9,3.55,46.5
2026-08-17,South,7,3.11,46.5
2026-08-18,South,9,2.83,46.5
2026-08-19,South,9,3.29,46.5
2026-08-20,South,8,2.96,46.5
2026-08-21,South,7,2.44,46.5
2026-04-24,West,9,3.76,47.0
2026-04-25,West,12,3.7,47.0
2026-04-26,West,12,3.63,47.0
2026-04-27,West,12,3.28,47.0
2026-04-28,West,11,3.67,47.0
2026-04-29,West,10,3.72,47.0
2026-04-30,West,10,3.39,47.0
2026-05-01,West,11,3.39,47.0
2026-05-02,West,9,2.98,47.0
2026-05-03,West,10,3.61,47.0
2026-05-04,West,10,3.87,47.0
2026-05-05,West,14,3.61,47.0
2026-05-06,West,13,2.64,47.0
2026-05-07,West,10,2.97,47.0
2026-05-08,West,10,3.17,47.0
2026-05-09,West,12,3.34,47.0
2026-05-10,West,9,2.94,47.0
2026-05-11,West,10,3.45,47.0
2026-05-12,West,11,3.4,47.0
2026-05-13,West,9,3.35,47.0
2026-05-14,West,9,3.71,47.0
2026-05-15,West,12,3.37,47.0
2026-05-16,West,12,3.24,47.0
2026-05-17,West,10,3.79,47.0
2026-05-18,West,11,3.62,47.0
2026-05-19,West,10,3.23,47.0
2026-05-20,West,10,3.7,47.0
2026-05-21,West,9,3.42,47.0
2026-05-22,West,9,3.24,47.0
2026-05-23,West,11,3.37,47.0
2026-05-24,West,12,3.61,47.0
2026-05-25,West,10,3.46,47.0
2026-05-26,West,9,4.2,47.0
2026-05-27,West,11,3.4,47.0
2026-05-28,West,12,3.47,47.0
2026-05-29,West,11,3.61,47.0
2026-05-30,West,12,3.8,47.0
2026-05-31,West,11,3.07,47.0
2026-06-01,West,10,3.84,47.0
2026-06-02,West,12,4.13,47.0
2026-06-03,West,10,4.01,47.0
2026-06-04,West,10,3.53,47.0
2026-06-05,West,11,3.76,47.0
2026-06-06,West,10,3.55,47.0
2026-06-07,West,10,3.31,47.0
2026-06-08,West,10,3.17,47.0
2026-06-09,West,12,3.33,47.0
2026-06-10,West,10,3.6,47.0
2026-06-11,West,10,2.87,47.0
2026-06-12,West,11,3.52,47.0
2026-06-13,West,10,2.9,47.0
2026-06-14,West,10,3.29,47.0
2026-06-15,West,13,3.43,47.0
2026-06-16,West,12,3.45,47.0
2026-06-17,West,11,3.59,47.0
2026-06-18,West,11,3.21,47.0
2026-06-19,West,14,3.57,47.0
2026-06-20,West,10,3.43,47.0
2026-06-21,West,10,3.67,47.0
2026-06-22,West,9,3.03,47.0
2026-06-23,West,9,3.33,47.0
2026-06-24,West,12,3.73,47.0
2026-06-25,West,10,3.38,47.0
2026-06-26,West,9,3.26,47.0
2026-06-27,West,10,3.31,47.0
2026-06-28,West,11,3.02,47.0
2026-06-29,West,10,3.6,47.0
2026-06-30,West,11,3.51,47.0
2026-07-01,West,11,3.86,47.0
2026-07-02,West,11,3.46,47.0
2026-07-03,West,11,3.2,47.0
2026-07-04,West,10,3.08,47.0
2026-07-05,West,12,3.6,47.0
2026-07-06,West,11,3.48,47.0
2026-07-07,West,9,3.88,47.0
2026-07-08,West,9,3.41,47.0
2026-07-09,West,10,3.56,47.0
2026-07-10,West,11,3.42,47.0
2026-07-11,West,10,3.3,47.0
2026-07-12,West,10,2.97,47.0
2026-07-13,West,10,3.67,47.0
2026-07-14,West,11,3.56,47.0
2026-07-15,West,11,3.61,47.0
2026-07-16,West,11,3.54,47.0
2026-07-17,West,9,3.58,47.0
2026-07-18,West,13,3.06,47.0
2026-07-19,West,11,3.69,47.0
2026-07-20,West,10,3.46,47.0
2026-07-21,West,11,3.35,47.0
2026-07-22,West,10,3.38,47.0
2026-07-23,West,10,3.62,47.0
2026-07-24,West,13,3.47,47.0
2026-07-25,West,11,3.57,47.0
2026-07-26,West,11,3.47,47.0
2026-07-27,West,12,3.02,47.0
2026-07-28,West,12,3.05,47.0
2026-07-29,West,11,3.31,47.0
2026-07-30,West,11,3.46,47.0
2026-07-31,West,10,3.03,47.0
2026-08-01,West,12,3.62,47.0
2026-08-02,West,10,2.98,47.0
2026-08-03,West,9,3.16,47.0
2026-08-04,West,12,4.07,47.0
2026-08-05,West,11,3.45,47.0
2026-08-06,West,11,3.47,47.0
2026-08-07,West,13,3.1,47.0
2026-08-08,West,9,3.08,47.0
2026-08-09,West,9,4.08,47.0
2026-08-10,West,9,3.53,47.0
2026-08-11,West,13,3.49,47.0
2026-08-12,West,11,3.77,47.0
2026-08-13,West,10,3.25,47.0
2026-08-14,West,10,3.94,47.0
2026-08-15,West,11,3.27,47.0
2026-08-16,West,9,3.59,47.0
2026-08-17,West,10,3.27,47.0
2026-08-18,West,11,3.83,47.0
2026-08-19,West,11,3.19,47.0
2026-08-20,West,9,3.15,47.0
2026-08-21,West,11,3.18,47.0
